,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
ODP0185-0801C-042R-002/034-038,5.28034531205443,0.4312666539436434,,33.88677105255818,,-1.741648402027415,0.10637644657511114,0.22094522184418608,-2.6005304911422584,0.8407737838262124,0.024834990189541273,,,0.9638464617039126,-0.5254565949840178,-0.6695665353960276,0.9361470526258557,-0.6462126989898618,0.017834470172400696,-0.029271518891683307,0.10323640182765104
ODP0185-0801C-043R-001/013-015,-0.4984748303204716,0.18492633741213726,,0.37034328784985515,,-3.0215302536780335,-0.23555703961697017,0.10855302418640189,2.7788127136861185,0.8204130779769461,0.1455359215561991,,,0.5478798145403818,0.19796023138536256,0.21134965340951695,-1.7141519032455719,-0.07639558697582238,0.009413047503027183,-0.05216324524371224,0.9002108655941239
ODP0185-0801C-043R-002/101-104,46.048533766048344,0.288456424423009,,4.460750882590395,,20.40842648095345,-0.3788246760476799,-0.5275902482138521,-2.607072357345622,-0.33459564270435926,-0.4831819626823961,,,1.3663549873832483,0.31969887964377275,0.4856115677303219,-1.1907094755009524,-0.6634393897788788,-0.13513788810795901,-0.06206330034008925,-2.1694195519500745
ODP0185-0801C-043R-003/050-055,81.61532909566088,-0.8711292745208639,,-0.23704394234910753,,34.24154845512178,-0.9934705484587534,-1.429722494083709,-2.352047965949856,-1.843767768340777,-0.8738604191876105,,,-0.545920749853618,0.6275251488894007,0.46142459972682914,-0.14566870714975977,-0.003902305310954368,-0.67212618486553,-0.00788471301803538,-3.2037368442295
ODP0185-0801C-046R-002/048-052,19.687720482777124,0.49576904187234305,,4.265737161027788,,4.484051890068575,-0.03111781437918726,0.5846645719098165,-0.5791001416677215,0.015028118241144028,0.458140811064899,,,-0.06597146162897971,-0.7310467444957789,-0.7345030728942028,-0.5943579049618677,-1.298572014321854,0.02276216493211569,-0.0015452256755348615,2.310630029561615
ODP0185-0801C-050M-001/029-032,1.752241981885621,1.023850178807396,,3.815754866499318,,-0.49252573413679634,0.685615662298547,0.911625628032037,-0.11405196622919966,1.9982412017990834,0.19541269713980292,,,0.9898881009679865,-0.15572849368716213,0.20058474607535715,-1.968915995476209,0.4026915361099297,0.4091177777390733,-0.04979046966805209,0.14222166770571043
ODP0185-0801C-052M-001/047-049,-0.044653029336969796,0.16700209797507926,,2.0901994046278722,,-1.1682746555289327,0.08853984261593784,0.38095569598542856,-0.7500816748628099,1.257750290195105,0.24583975877902198,,,-0.2527772072775303,-0.12724891815986794,0.07763864910789309,-1.530075350037066,0.42887522094166375,0.1179355090912142,-0.043307874171787414,1.0955894162071314
329-U1365E-2R-1-W 36/40,5.819442158715114,0.6739544223454916,,-1.1212987545726905,,1.6553788866122363,0.6936021492110136,0.9476941755618276,5.783885506011211,2.5540037715222432,1.54944641457796,,,-1.3502271994798747,0.2885402181446528,0.395731385439718,0.6609409385238365,-1.2004381567402511,0.3706511071084728,0.013419198417859768,1.629437592532815
329-U1365E-2R-1-W 65/69,-0.10269788200589569,-0.70073984132216,,-0.4832041806961316,,-1.5696840512509544,1.0212541173673446,1.3847236200036699,-4.029660469138685,2.6367407685810997,1.3738355468312262,,,-1.3460776337357077,-0.12852156515855473,-0.35465934659758336,-0.09183572524202788,-0.7781165887713559,0.41984877493996464,0.015653390346672055,1.6825873661099564
329-U1365E-3R-1-W 130/134,1.037034565061778,0.5614362825680559,,-0.27410286737632417,,-0.2053001782418984,0.823360147153096,0.8536999085672461,0.2546043232064008,2.292402958395675,1.3667036464698255,,,-1.1950979541744013,0.3105140532469024,0.39908891575292227,-0.178550086507272,-1.2684844331975897,0.5288070030527039,0.012504638099795393,2.3216765408801656
329-U1365E-3R-2-W 20/22,0.6246165542624049,-0.48086939829538267,,-0.4145921976960456,,-0.3066388599484142,0.9173768351189984,1.2859802431811929,2.9113728515792427,2.669823361494406,1.2675256337863408,,,-1.3519761166508184,0.02577867970962,-0.11494250710328746,0.22670945060253445,-0.8928673494452655,0.5188518677321259,0.011919139216341842,1.7436409252192142
329-U1365E-3R-2-W 22/24,8.77611499098271,-0.16471774875578515,,-0.8616947688156702,,3.7382710345125676,0.664869819617004,0.8049669417142864,5.305690010234114,2.481946188597206,1.4355994541622614,,,-1.3156250165267993,0.3385653920551075,0.33308849467065826,-0.14839805568075093,-1.4573853040712397,0.40015552015833356,0.018717323940815045,1.5870410596080848
