,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
329-U1368F-2R-2-W 134/138,14.060393401186973,16.713680208554084,14.69887476553568,19.237121048801235,18.425304728070692,14.993948959884081,13.656672684174156,13.53819313308177,13.071864549110165,6.119227508169542,4.914136215371931,4.842891415852762,49.24327690762002,7.83711681661969,2.527912159690679,0.25161266889328143,10.691216902015972,11.943750000000001,8.390674496350183,18.27650655021834,16.027706776089612
329-U1368F-2R-3-W 110/115,16.94778318289545,18.272040215726992,16.11517132670393,21.904164619211716,17.707101664352955,19.343542293035085,16.1216428354926,14.173405120970285,12.695463510696563,6.051430563345587,5.325260493753295,5.099536497474432,49.50373009714107,7.354372213940668,2.677378013727523,0.2569104251404855,10.216801707892682,11.642857142857144,7.975751032244954,18.003544024539025,15.661954163687076
329-U1368F-2R-4-W 61/64,13.335072332008185,15.864529403696235,13.551874135502993,18.617143610979436,15.592019712817931,16.41550000860303,14.469702628093442,10.856300082110963,10.346067531822065,5.773572400174051,5.171113134786668,5.090737640996538,49.346829299590176,7.825447721229244,2.6355893823052967,0.21032520849207312,10.46296309815507,10.153571428571428,6.8231858541748736,14.823619320450492,12.96974857374772
329-U1368F-2R-4-W 86/90,16.691051790450153,17.774605155108457,16.152864753210526,22.597287613087246,13.853591210285368,22.750902954074252,20.29218531095142,14.101177674142624,10.711662094982984,5.7021671131918765,5.0817934807242775,5.02314972649684,49.6234268271295,7.221472612424333,2.7632822871913656,0.23417078286979642,10.187851249195726,10.11875,6.8231858541748736,15.58528084269476,13.72865715564759
329-U1368F-3R-1-W 19/21,2.0052428260094874,3.321530244550891,3.613196638091913,5.999347325814312,5.8298144311763,3.508783058524746,10.54634011727579,5.236936765840291,11.863920409113817,9.146289202526955,9.822509619037884,9.478397421435105,49.60604194928703,6.478699050241942,2.855646036806728,0.2392766372021458,10.17480137032305,12.324107142857144,11.341241352209586,9.084954329522864,10.155385181231145
329-U1368F-3R-1-W 21/23,1.908944352595227,3.445181143644979,3.32915036519577,5.9296891164457985,6.25639496977859,2.6598954837044486,11.581324393359488,5.4770881501146675,11.891484860217702,9.180710869402864,9.777873085342737,9.056596494603898,49.77031589504113,6.606949047448802,3.0672480172783905,0.23620444475603572,9.420559617364246,12.132142857142858,11.110728316595571,9.079335499866488,10.657828111526305
329-U1368F-4R-1-W 23/27,1.0478918116962148,3.8227730663072697,3.039047039942716,4.700776338340316,5.307552275481395,4.07901862116574,10.817539291630421,6.1112417315384935,11.038501942682284,8.57347748565169,8.318938572866518,8.177551748571963,49.513938506802496,7.090270726442557,2.8768076305754438,0.2532591327337898,10.021366152963703,10.565178571428572,11.156830923718374,8.131359315457706,9.10959794041062
329-U1368F-4R-1-W 66/68,2.489066121862863,5.029336851797208,4.443491971721183,6.142320945640338,6.119238672784135,4.35536623571121,9.92944627035685,6.899815275102912,11.288603865618008,7.166839074963027,6.507386599712295,6.21325385018163,49.27368253221319,7.385104122082769,2.6785721072236224,0.2502746757326779,10.265671361711904,10.67232142857143,11.202933530841177,9.408200270574666,9.74450009106231
329-U1368F-4R-1-W 129/131,1.756181515263212,3.035976715226379,2.8972729284957794,5.932749690094769,5.604051410818347,3.1288682135026704,9.939596467256196,5.249122238596419,11.626804343246079,9.63810303920951,10.29847317729344,9.640977753356374,49.72242780386355,7.102520923263744,2.851691291544295,0.2410602374477281,9.566516930574286,11.686607142857142,11.018523102349965,8.316060826521548,9.770963249613647
329-U1368F-4R-1-W 131/133,2.061930375150254,3.762096513053865,3.9741033549268323,6.7918165024394455,6.127635697731175,3.5706321586771312,11.168467290261475,5.827945973495713,12.0757328125609,9.19906810039943,9.880793483556245,9.688840781287816,49.676160113087384,6.470788938830494,2.858176116116141,0.23638121450058158,10.131672549243419,12.546428571428573,11.295138745086783,9.291154791952799,10.407779578515347
329-U1368F-4R-2-W 14/16,2.3631591243210295,4.210700649642309,4.107699811405958,6.870123073595612,6.192368432617207,3.4751765573506987,11.41195586816726,6.146069482603247,11.759682052293686,8.92999713260338,9.655429306874868,9.452962821063826,49.63350116554944,6.507550999376095,2.9585884389538832,0.24063331630867485,10.212463765001996,12.314285714285713,11.295138745086783,9.502610028500037,10.496730593850547
329-U1368F-5R-1-W 30/34,1.7113699285273212,3.8672832262811347,3.452306626536858,6.623193099390521,6.4266135771419215,2.659784343049474,11.390109096057294,5.695332898134147,12.333097874721679,9.31772681480737,9.775539843461333,9.162017915983963,49.84632481422306,6.447296593769122,3.0122994847004376,0.2598746306785561,9.661234341233158,12.300892857142859,11.617856994946406,9.53130175717702,11.152753756741195
329-U1368F-5R-2-W 64/69,2.107900501324634,3.489215402683411,3.68838558135742,6.112067269394218,5.649031977684816,3.753906993846245,11.17453505355894,5.3690630653493585,11.725548056053585,9.12878173104495,9.67523783668468,9.257272731779473,49.585209345204056,6.65998443117279,2.9345844084970945,0.24092343200646635,10.223276238041443,12.024107142857142,11.156830923718374,9.018948150721386,10.085197235944158
329-U1368F-5R-3-W 9/14,1.9132467901424386,3.581256789241204,3.296965454375948,6.197363023479294,5.5213884363807555,3.5596556008091778,10.429336494394695,5.726566827619965,11.58330260351094,8.971507220650576,9.64000059335,9.011059592472598,49.496390674660425,7.020550078382083,2.875854698387003,0.24276595374237336,10.34503203447007,11.649107142857144,10.972420495227162,8.801341332420126,9.837778330761955
329-U1368F-5R-3-W 93/97,1.5343380653555774,3.206548210431728,3.060248694755108,6.1636853460125725,5.80851317466011,2.6789728224894698,10.879889144650145,5.439263949834477,11.771534355425995,9.09543242237396,9.606484763361907,8.76842876749187,49.66521697304065,7.1008067004157995,2.878849211217868,0.23685156258490891,9.76025765860407,11.866964285714285,11.202933530841177,8.762136691378085,10.25284095650644
329-U1368F-6R-1-W 83/87,3.5655780333718843,4.024675095008539,4.444051008603021,7.596506174134016,7.578277462528531,3.664939909533029,14.51609726946031,6.124902389992653,12.93569183391505,9.36933811825022,10.104277652094606,9.447406928033683,50.0734898570083,6.631459458702189,3.116906639900008,0.24617715332005338,10.123769402675363,13.454464285714286,10.880215280981554,10.031839498895845,11.702742462808986
329-U1368F-6R-1-W 119/123,2.994771148492818,3.522231848447873,3.053873222146125,5.877134900872804,6.858082859791509,2.8614567542092484,9.850234334036216,5.919320684880532,12.280053663174996,9.778479682443974,10.532662531015362,9.890449296154854,49.81731104921177,6.610830986737338,2.999434017382336,0.22028231057924974,9.634545275274142,12.644642857142859,10.465291816876325,8.965285650028914,10.740641936714006
329-U1368F-7R-1-W 48/50,3.1245992094568464,2.9894730715516182,2.5415903346043613,5.925398854567082,6.302723131278246,3.590127685463748,9.353309549823646,5.877414517914276,12.073390796244428,10.052346489646382,10.693572990662455,9.97917986606199,49.76522710596523,6.703683282598706,2.957263775663267,0.22109412030801617,9.815178831036802,12.625000000000002,10.188676174139507,8.565514157300223,10.336354281618892
329-U1368F-7R-1-W 90/92,3.121034459743924,3.81464993566315,3.5483490166265144,6.75190951400892,6.890909271230484,4.209608869259962,10.55975165146469,5.894717846882346,12.184445067918544,9.731658676430675,10.529187591143213,10.054869043934504,49.89866706202376,6.611301140478363,2.9980545854409684,0.22349902479076014,9.736075496662561,12.762500000000001,10.32698399550792,9.09173506976271,10.72693309859155
329-U1368F-7R-2-W 8/13,2.907717428471139,3.4510219384001015,3.3818650675550304,6.233802640929894,6.8959838116260554,3.232989878677428,11.575447296094627,5.818749847248463,12.633965562918315,10.22414137096849,10.620568990785292,10.27000242170385,49.95957697670339,6.499168783923345,3.017560120560637,0.2404717850762268,9.456381141828684,13.333035714285716,11.202933530841177,9.602461488620381,11.433414605208272
329-U1368F-7R-2-W 46/48,3.5283257516189432,3.78801889579535,3.092438555297135,6.544335198260752,6.682686480145262,3.8134931361376463,10.832670078943595,6.186180286043138,11.804998267530562,9.531373772813033,10.095848562115318,9.800846270014874,49.84400251830068,6.5870428937620105,2.9680802448708987,0.21975574261121328,9.76755596198693,12.34375,10.142573567016703,8.822659896089108,10.391742780589464
329-U1368F-7R-2-W 93/95,3.609192149582514,4.059025016386813,3.691680347532571,6.669111028987036,7.218306190160144,4.169145862649702,12.985869592659718,6.150057356019161,11.7852950187681,8.819402138915903,9.343427722497418,8.860215036032399,49.80745341681824,6.6059194268127905,3.036600345576948,0.2190514091966747,10.108622965575176,12.213392857142857,10.188676174139507,9.07446988166736,10.579438280419454
329-U1368F-7R-2-W 113/115,3.7996351514117492,3.8345339592362997,4.158777073373871,7.067736664663778,6.937551949927377,4.304249755526606,11.473867768977621,6.3915738491069325,12.27742160145075,9.195026933991288,9.92284384294527,9.610679314138274,49.81015356146505,6.56802144169638,2.927740545866945,0.2300456005765601,10.527756491102906,13.050892857142857,10.64970224536754,9.620515847114058,10.766438176963657
329-U1368F-7R-3-W 16/20,3.137995306470829,3.618144750496857,3.597482423701549,6.6631095346534215,7.586712754524017,3.241982515505675,12.093536482573906,6.218832098808949,12.424508254865746,9.134895779630131,9.81051320367036,8.978409647700396,49.86922013796035,6.634827537869394,3.0636505518055324,0.23130002349526396,9.493446607985573,12.779464285714287,10.557497031121931,9.430266152329278,11.224156221426233
329-U1368F-8R-1-W 31/36,3.863553920645348,4.906297287125815,4.542068026901251,7.836036475069935,7.658872819730637,4.17187493164297,16.19244321227767,6.472062065684157,12.85958669736183,9.317068521231942,9.967744551926643,9.317909730898227,50.16779942650669,6.586688860430098,3.159045873689227,0.24342630829225276,10.284173912667628,13.266964285714288,10.834112673858751,10.311616401153902,11.927271004040326
329-U1368F-8R-1-W 129/134,2.949261786102653,3.60791419125049,3.4662122395753494,6.413530619256914,6.749217569233499,3.22276726180671,10.322560223152049,6.003628887507497,12.365975379066192,9.93658932867085,10.49163835125686,10.133498897764431,49.920848568033186,6.608957691026039,2.977504723884198,0.2281146082271553,9.729909547368557,12.965178571428574,10.695804852490342,9.208074364938916,10.930049552791202
329-U1368F-8R-1-W 143/148,4.202043738231202,4.822987413318012,4.744617089146243,8.116147536448718,7.747607038010319,5.004675842824921,13.390801204306252,6.455099603651058,12.356717166378864,8.982098249040037,9.619208760644199,8.991136256846707,49.850587201765386,6.6067013293634895,3.123348410508149,0.23602276516295229,10.572751832094589,13.134821428571431,10.64970224536754,10.305661794811037,11.455122368247855
